name,age,street,city,state,zip,lng,lat
Tony Harmon,18,9398 Garner Square Suite 219,East Rebecca,Louisiana,86314,-142.162676,62.719016
Stephanie Armstrong,18,2922 Jones Stream,Port Elizabeth,South Carolina,25112,-174.134481,59.180080
Lauren Smith,18,59825 Silva Islands,Port Elizabeth,Delaware,90115,160.871675,-26.565722
Breanna Rhodes,18,4813 Mark Orchard,New Sharonton,Wyoming,94638,-95.640569,-33.8807095
Kimberly Harris,18,1364 Elizabeth Cove,Collinsland,Maryland,89919,88.197170,-69.5275485
Wyatt Allen,18,85456 Hoover Way,East Sandrahaven,Maryland,24943,-139.684683,0.6312825
Keith Sanchez,18,469 Rachel Corners,Lewisport,Georgia,43287,-43.645456,46.150965
Cassie Mathews,18,18900 Cannon Terrace Suite 835,Salazarmouth,Maine,62635,109.600523,77.707694
Jacob Reed,18,178 Williams Knoll,East Kellyland,Wyoming,17874,129.973796,-45.4653105
Eric Anderson,18,446 Anthony Oval Suite 275,Port Philip,New Hampshire,46452,85.502820,87.3297595
Bryan Burke,18,0344 Julie Walk,Port Ashleyport,New Jersey,74338,64.092528,26.8661235
Tamara Dunn,18,8027 Martinez Extensions Suite 507,Port Stephaniefurt,Alabama,54101,2.221144,27.388146
Cassandra Benitez,18,111 Jonathan Lodge,East Joshua,Wisconsin,60552,-89.053253,25.026159
Donald Russo,18,43953 Austin Expressway Suite 275,Timothytown,Kansas,96642,-142.369494,70.1054605
Julian Ortega,18,7295 Hicks River,Lake Karen,Michigan,84154,42.567805,18.239104
Brian Fisher,18,66393 Henry Ville Suite 254,Maryborough,Nevada,89757,-31.345930,42.3364805
Michelle Sawyer,18,4467 Sarah Pines Apt. 118,South Gail,Kansas,93603,-70.086376,-60.437066
George Smith,18,9224 Rodriguez Manors Suite 357,Lake Alison,Nebraska,43703,-162.579407,-9.858457
Kimberly Graham,18,28585 Ali Port,West Seanhaven,West Virginia,03700,176.170966,-20.5299055
James Dillon,18,936 Evelyn Branch,Michaelton,Washington,22152,-101.732990,1.5505965
Haley Walker,18,681 Nathan Grove Suite 441,Port Ashley,Nevada,14987,-139.382189,-34.969468
Emily Cooper,18,3929 Jeffrey Drive Apt. 132,Matthewview,Wisconsin,24135,-13.685067,82.2447885
April Allen,18,134 Cross Square Apt. 167,Lake Ellenberg,Hawaii,10770,124.265561,-81.6103595
Jacob Miller,18,161 Tony Garden,Benjaminton,Vermont,92566,9.093677,-18.0725295
Jennifer Price,18,17055 Morris Rapid,South Morgan,Alaska,93197,-115.870953,-2.8118995
Daisy Turner,18,46628 Marsh Field,Lake Carlaborough,Virginia,65186,-133.739110,-67.665117
Michelle Johnson,18,3113 Jeremy Spurs Suite 406,South Colin,Kentucky,33555,-169.698387,-26.4424385
Mark Carroll,18,38545 Jefferson Isle Apt. 339,Kimbury,Montana,00504,148.832171,16.796164
Haley Nelson,18,77712 Barbara Ways Suite 954,Lake Jefferyview,Kentucky,43865,-105.376604,-3.248560
Jason Jenkins,18,8029 William Trace,Lake Monicaland,Connecticut,46732,59.313913,37.9538215
Daniel Clark,18,29381 Jonathan Spurs Apt. 035,South Ashleybury,California,21472,177.340405,-64.892974
Melissa Park,18,56019 Barbara Isle Apt. 953,Morrisonburgh,Connecticut,80483,73.731552,-56.2452035
Mary Jennings,18,803 Hughes Row,Scottville,Kentucky,35730,-55.511388,-45.0529285
Lisa Ruiz,18,654 Andre Field Suite 408,North Katherineburgh,Illinois,29893,-10.640193,60.5772885
Brian Scott,18,0166 Miller Way Apt. 791,South Andrew,Wisconsin,73509,127.338056,61.156958
Matthew Frank,18,356 Amber Springs,Lake Victor,Idaho,06118,149.960149,34.916973
Barbara Knight,18,14170 Mcmillan Cape Apt. 809,Lake Justin,Georgia,60394,31.782861,-39.513608
Regina Ballard,18,923 Carlos View,Mackenziefurt,Alabama,63038,21.510134,87.964484
Suzanne Bowen,18,89107 Barker Greens,Duncanburgh,New Jersey,73162,4.141078,-83.3450925
Margaret Johnson,18,6375 Owen Vista,Wilsonside,New Hampshire,17762,99.565732,3.750391
Isabel Davis,18,79672 Holly Flats,Ginachester,Michigan,41345,99.303220,49.0299695
Julie Welch,18,668 Klein Course Apt. 019,Kingchester,Connecticut,35759,133.528931,14.7860475
Brian Curry,18,20383 Kevin Ford Apt. 499,Carlaview,Rhode Island,94342,-102.833581,-45.9022745
Matthew Robinson,18,179 Melissa Crossing,Priceville,Idaho,76043,-152.522262,-85.952129
Gabriel Harris,18,18720 George Highway,Santiagoberg,North Dakota,17619,85.759469,-85.4682515
Joseph Torres,18,68594 Robinson Plaza Suite 955,Walshbury,Michigan,68146,140.329728,34.4162465
Jennifer Dixon,18,572 Nunez Park Suite 335,Robertton,Tennessee,30909,-10.622387,54.321451
David Dean,18,13315 Cohen Road,Nathanielville,Pennsylvania,28129,-150.194580,-29.377031
Mark Lynch,18,4871 Simpson Falls Apt. 424,Grayshire,South Dakota,08766,-59.759993,72.7319385
Christian Thompson,18,1282 Brandon Groves Suite 589,South Carolstad,Oregon,15943,-129.217786,-36.9311785
Thomas Williams,18,80286 Curtis Well Suite 334,East Jamesshire,Minnesota,03997,171.681703,-38.7402535
Rachel Payne,18,26943 Cook Path Suite 732,West Sarah,North Carolina,76297,-141.648578,28.513241
Kathy Green,18,20976 Gilbert Extensions Suite 507,North Lindsayborough,Arkansas,89413,-57.199443,49.494701
Todd Martinez,18,79981 Daugherty Green,Hernandezland,Washington,51077,-67.464885,82.2634525
Charles Vega,18,786 Young Brooks,Ambertown,Iowa,79257,-133.257350,-61.326223
Timothy Lin,18,4454 Greene Springs Apt. 897,East Carrie,Louisiana,18765,-91.754848,11.7082115
Kathleen Sanchez,18,90668 Oneill Plains,East Isabella,Alabama,09290,-136.733743,-66.5147295
David Murphy,18,2256 Torres Parks Apt. 766,Joneshaven,Arkansas,51996,136.730199,18.376373
Michael Campbell,18,37258 William Ports,South Normanside,Maine,15656,-10.445326,-3.713914
Jared Miranda,18,00188 Gail Way Suite 912,Jamesbury,Louisiana,17536,-73.507760,10.7784175
Brett Brown,18,42058 Ramos Curve Apt. 913,Lake Kimberly,Wyoming,94223,-18.185191,17.166738
Trevor Williamson,18,860 Henry Greens,West Christopher,New Jersey,08951,76.995793,15.3932325
Nancy Martinez,18,549 Rebecca Common Suite 316,East Susanshire,Vermont,31201,-64.728623,0.0939475
Nicole Owen,18,80179 Alexis Branch Apt. 120,East Kyle,Oregon,74385,76.066184,58.2386915
Mr. Mario Hart MD,18,1460 Reed Stream,Michellebury,Alaska,23468,-135.572205,48.8648795
Kelly Jackson,18,82316 Pearson Circle,West Frederickmouth,Texas,88389,-76.078475,-26.3413605
Tyler Gonzalez,18,0497 Matthew Course Suite 342,Gardnermouth,Wisconsin,88951,55.597465,-44.469178
Kayla Bowers,18,916 David Extensions,Combsstad,Nevada,89472,81.424212,-7.3093205
Daniel Coleman,18,82479 Paul Heights,Shaunborough,New York,04395,-48.264384,7.036417
Jean Pratt,18,772 Eric Mission Apt. 473,Nicholsborough,South Carolina,83696,171.308344,85.315460
Thomas Monroe,18,9594 David Oval,Nelsonside,Colorado,51902,172.485747,32.8465755
Sandra Rogers,18,3615 Linda Vista,Brownfort,Maine,39483,158.938962,77.500895
Alec Williams,18,8328 Jones Lake Suite 940,Samuelmouth,Idaho,85161,105.338195,-20.1278845
David Torres,18,3436 Brown Flats Apt. 919,South Douglasfurt,New Jersey,88667,-169.090835,20.4014365
Jessica Armstrong,18,209 Jason Grove Suite 958,Reginamouth,Connecticut,94760,94.515708,4.146218
Gail Soto,18,0030 Stone Rapid Suite 434,Sellersmouth,Maryland,92783,149.742427,-6.4790955
Mark Mitchell,18,565 Gary Common Suite 138,Tylerchester,Arizona,11287,68.061803,69.747203
Barbara Porter,18,4769 Martin Creek Suite 267,Lake Mary,New Hampshire,80132,-144.903124,-3.0096175
Matthew Gutierrez,18,1851 Kyle Hollow,Mitchellport,Connecticut,38352,-71.671815,-5.8381405
April Jenkins,18,8589 Michael Alley Suite 701,Tinaton,California,10287,-167.580469,-65.949054
Paula Brown,18,25178 Michael Land,Hendrixside,Florida,82324,97.154673,49.536455
Jason Smith,18,61965 Kathleen Garden,West Reneeport,Nevada,07397,-33.362515,69.566214
Justin Sanchez,18,15081 Ashley Parkways,Lake Jacquelineburgh,South Carolina,69554,-36.435180,-46.9854125
James Peters,18,83104 Daniel Overpass Suite 327,New Melindastad,Vermont,01549,-143.985437,48.1791965
Catherine Avery,18,514 Jenna Flats,West Rosshaven,North Dakota,47927,148.345395,36.300458
Natasha Valenzuela,18,2273 Gutierrez Fall,Castrostad,California,40812,63.120087,-14.834392
Catherine Preston,18,417 Ashlee Branch,North Wesley,Wyoming,69414,89.244116,-75.0483115
Isabella Tyler,18,934 Johnson Mountains,West Jenniferville,Mississippi,99119,-23.587006,22.611054
Michele Snow,18,895 Bender Square,Lake Justinhaven,Kansas,44358,-109.294573,-42.706412
David Williamson,18,00359 Tammie Parkways Apt. 001,Turnerland,Kentucky,26339,-28.355733,17.684687
Mrs. Dana Wright MD,18,6869 Owens Spurs,West Amandamouth,Missouri,43677,30.850062,-34.268481
Robert Bell,18,0448 Davis Plains,Lawrencemouth,Oregon,62330,-91.726439,62.202848
Mr. Christian Barnes,18,5864 Megan Gateway Suite 361,East Katieside,Tennessee,68657,-13.837512,-33.453877
Jonathan Golden,18,787 Thomas Fort,Swansonshire,California,45484,40.548776,71.2055395
Joshua Cruz,18,14345 Sanchez Extensions,Port Sandraport,Oregon,05533,159.655732,13.7056795
Derrick Le,18,770 Alex Rapid,Tateport,Massachusetts,24726,-131.607729,-29.1564025
Elizabeth Ferguson,18,744 Cox Bridge Apt. 176,Claytonville,North Carolina,66993,-155.072923,45.671305
Brian Moyer,18,225 Mann Ridge,Kingborough,Florida,35290,177.272595,35.082500
Angela Vega,18,150 Kathleen Fort,Danaton,South Carolina,08412,16.914825,86.9844305
Brittany York,18,7727 Amber Roads Suite 408,New Cynthia,Arkansas,45732,-97.444010,60.943142
Michael Morales,18,151 Yoder Flat Suite 083,Anthonytown,North Carolina,52720,-10.136039,34.889966
Jennifer Hall,18,65566 Wilson Loaf,Lake Renee,Rhode Island,95788,40.055616,5.6771175
Patricia Mathews,18,82698 Sullivan Square Suite 998,North Markbury,West Virginia,02929,-40.145428,-70.995196
Edward Fischer,18,7662 Barbara Mountain Apt. 098,New Donna,New Jersey,49430,-156.017342,-2.740084
Teresa Jordan,18,772 Long Causeway,Port Patricia,Maryland,48179,139.234803,7.912950
Carol Rodriguez,18,5037 Billy Park Apt. 952,New Joseph,Arizona,59810,-176.937351,-30.9749325
Shannon Livingston,18,50350 Johnston Vista,South Judith,Massachusetts,98046,-4.787739,29.897471
Hannah Stewart,18,664 Jacqueline Lodge Apt. 478,Lake Nicolestad,Louisiana,05061,4.798370,12.171467
Tabitha Short,18,70039 Greene Views Suite 389,Johnnybury,Maine,21450,-126.023096,9.0143205
Kathryn Lawrence,18,49628 Debra Rapid,Port Marymouth,Arizona,94530,-108.202216,39.1341325
Kelly Branch,18,33266 Kirk Station,Rangelside,Massachusetts,52029,117.437073,-52.6384955
Jeffrey Wood,18,792 Roy Parkway Apt. 254,West Leslie,Alabama,64552,67.650845,75.7315235
Anna Ball,18,69371 Elizabeth Inlet,Port Natasha,Pennsylvania,36797,42.082377,74.0364915
Michael Stone,18,415 Gutierrez Junctions Apt. 214,Port Michaeltown,West Virginia,41245,12.475602,86.0337335
John Brown,18,44696 Wright Court Suite 488,Josephfurt,Virginia,76111,-97.612630,-26.1348655
John Bender,18,658 Daniel Trail Apt. 164,Sanchezshire,Michigan,22755,73.056447,-19.658490
Christopher Webb,18,0211 King Parks Suite 982,South Stevenfort,Alabama,00664,142.874446,6.8630925
Judith Castillo,18,22280 Johnston Plains,Castroborough,Montana,33421,114.102482,-61.757496
Nicholas Branch,18,341 Wright Freeway,East Markstad,Rhode Island,87165,4.289823,49.969995
Travis Blake,18,97501 Devin Circles Suite 984,Lake Craig,New Hampshire,70097,-135.844591,85.210440
Gerald Aguilar,18,3796 Anthony Road,Cameronfurt,New Mexico,32183,-171.107940,78.078300
James Bailey,18,873 Lori Divide,North Barry,Arkansas,66754,-21.427504,50.108487
Sharon Erickson,18,55192 Julie Junction Apt. 795,Robertfort,South Dakota,83166,48.867387,0.3248615
Eugene Boyd,18,381 Weber Canyon Suite 995,North Casey,New York,76666,14.076311,10.4983705
Nicholas Warren,18,2655 Laura Wall,Lake Jefferyport,California,93530,101.659330,47.0761965
Seth Gordon,18,77899 Johnathan Hollow Suite 316,Harrisfort,Virginia,74298,84.939311,-9.5790655
Christopher Hale,18,1110 Hernandez Orchard,South Tiffany,Arizona,48327,-40.731859,-31.056993
Wendy Dixon,18,8244 Jason Wells Suite 745,Huynhmouth,Maryland,20279,-173.597829,4.3915735
Victoria Bond,18,6466 Alice Loop,North Dawn,Idaho,35755,172.458736,10.815708
Alexander Powell,18,0610 Robert Overpass,Smithstad,Arizona,13588,10.492764,63.570215
Pamela Hernandez,18,20941 Mark Walks Apt. 945,Lake Donaldchester,Nevada,66089,-46.780019,-79.4631395
Rachel Carpenter,18,74227 Joshua Light,South Audrey,Alabama,03786,-110.453026,51.6279535
Nathan Martin,18,2688 John Vista,Michaelside,West Virginia,10521,110.082430,48.936867
Nicole Potter,18,7800 Jeremy Turnpike Apt. 878,Elizabethside,Tennessee,50799,-79.699220,44.1478025
Eric Pena,18,30016 Mcdaniel Bypass,Susanton,North Carolina,02138,157.242698,-19.7445455
Victoria Smith,18,51018 Charles Village Apt. 763,Mcgrathchester,Maryland,40637,-94.239057,-50.5364855
Donna Brooks,18,32414 Lee Rapid Apt. 193,Matthewchester,Arizona,07422,170.985908,-71.4000525
Natalie White,18,61801 Morris Walk Apt. 380,Wrightbury,Alabama,38587,-64.756296,74.0208835
Brandon Dunn,18,83904 Patricia Ville Suite 263,Stevenview,Hawaii,48555,160.776180,62.8189555
Michael Johnson,18,0319 Valerie Viaduct Suite 743,Jennyside,Colorado,63608,13.556807,-4.3124985
Brandon Richmond,18,29998 Stanley Forest,Briannashire,Arkansas,19529,-173.264988,-18.4630215
Rodney Waller,18,8222 Anthony Club Apt. 407,Alanfort,Arkansas,87796,122.741738,-79.0358345
Jerry Mendoza,18,7084 Matthew Estates Suite 746,West Derektown,Minnesota,25311,173.829754,19.0569985
Miranda Weaver,18,8832 Walters Manor Suite 568,East Johnchester,Vermont,57080,169.374238,-86.5338985
Julie Duncan,18,4180 Barnes Dam,Brianfurt,Washington,35870,170.480435,-41.9947645
Brent Hoffman,18,18233 Melissa Mount,West Josephport,Idaho,27452,-48.848781,26.3168095
William Cross,18,52902 Daniel Prairie,Lake Bethany,Wisconsin,29807,-126.514271,8.6076885
Kimberly Wilson,18,263 Sally Path Suite 765,Kimview,California,16750,-173.973761,-6.195472
Mary Patterson,18,7468 Gill Forge,Carolburgh,New Jersey,47630,-152.899359,7.4531475
Samantha Walker,18,171 French Unions Apt. 540,Taylorside,Connecticut,79682,-57.216778,62.751267
John Bell,18,20501 Kelly Brooks Apt. 248,South Kennethberg,Maine,13283,-91.784559,62.9013255
Lisa Young,18,553 Ortiz Fields Apt. 741,North Laurenburgh,Alabama,19935,153.061813,81.5052745
Mia Johnson,18,6535 Maria Lights,Samuelshire,Wyoming,48861,167.609782,-42.7225345
Rachel Robinson,18,403 Hill Turnpike Apt. 977,Lake Karl,Delaware,63381,-115.390767,-38.707697
Randy Benson,18,513 Sarah Motorway,Peterton,Utah,67582,-138.835692,-28.151130
Meghan Edwards,18,2797 Jasmine Cliff Apt. 902,Clarkchester,Indiana,63048,165.158829,73.2469135
Joseph Jenkins,18,93142 Simmons Squares,West Wanda,New Mexico,67546,125.511989,-70.574673
Barbara Mason,18,205 Christopher Common Apt. 841,Paulaview,Oregon,13158,96.882556,53.982269
Ashley Munoz,18,83333 Olson Vista Apt. 260,East Stacy,Florida,04805,-97.198274,-85.1707025
Stephen Tran,18,31010 Harrington Parkways,West Lynnmouth,Ohio,40243,2.783900,-59.380654
Ronald Wilson,18,1823 Sanchez Track Apt. 758,Hawkinstown,Colorado,95757,75.234425,-63.792237
Angela Ibarra,18,248 Whitehead Crossing Suite 400,New Kelly,California,64129,-13.663121,18.423477
Erica Wells,18,630 Brown Junction Suite 074,Port Victoriaborough,Washington,17178,162.058324,7.2497335
Raymond Fisher,18,0665 Michael Parkways,Lisaside,Ohio,89340,-154.303851,-62.6064225
